Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33359028k(20293580k free), swap 38339764k(24456416k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=heap/dumpExceeded.hprof -XX:InitialHeapSize=10485760 -XX:MaxHeapSize=10485760 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-04-26T22:23:24.156+0800: 0.170: [GC (Allocation Failure) [PSYoungGen: 2048K->488K(2560K)] 2048K->748K(9728K), 0.0011383 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:25.919+0800: 1.933: [Full GC (Ergonomics) [PSYoungGen: 1024K->1016K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8102K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0176550 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.937+0800: 1.951: [Full GC (Ergonomics) [PSYoungGen: 1024K->1017K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8103K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0260411 secs] [Times: user=0.20 sys=0.00, real=0.03 secs] 
2021-04-26T22:23:25.963+0800: 1.978: [Full GC (Ergonomics) [PSYoungGen: 1024K->1018K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8104K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0267316 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2021-04-26T22:23:25.990+0800: 2.005: [Full GC (Ergonomics) [PSYoungGen: 1024K->1018K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8105K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0257644 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2021-04-26T22:23:26.016+0800: 2.030: [Full GC (Ergonomics) [PSYoungGen: 1024K->1019K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8105K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0222531 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:26.038+0800: 2.053: [Full GC (Ergonomics) [PSYoungGen: 1024K->1020K(2048K)] [ParOldGen: 7086K->7066K(7168K)] 8110K->8086K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0436717 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2021-04-26T22:23:26.082+0800: 2.097: [Full GC (Ergonomics) [PSYoungGen: 1024K->1020K(2048K)] [ParOldGen: 7066K->7066K(7168K)] 8090K->8086K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0324853 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2021-04-26T22:23:26.115+0800: 2.129: [Full GC (Ergonomics) [PSYoungGen: 1024K->1021K(2048K)] [ParOldGen: 7066K->7066K(7168K)] 8090K->8087K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0190023 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:26.134+0800: 2.149: [Full GC (Ergonomics) [PSYoungGen: 1024K->1021K(2048K)] [ParOldGen: 7066K->7066K(7168K)] 8090K->8087K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0230460 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:26.158+0800: 2.172: [Full GC (Ergonomics) [PSYoungGen: 1024K->1021K(2048K)] [ParOldGen: 7066K->7066K(7168K)] 8090K->8087K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0231603 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
